version,codename,series
4.10,Warty Warthog,warty
5.04,Hoary Hedgehog,hoary
5.10,Breezy Badger,breezy
6.06,Dapper Drake,dapper
6.10,Edgy Eft,edgy
7.04,Feisty Fawn,feisty
7.10,Gutsy Gibbon,gutsy
8.04 LTS,Hardy Heron,hardy
8.10,Intrepid Ibex,intrepid
9.04,Jaunty Jackalope,jaunty
9.10,Karmic Koala,karmic
10.04,Lucid Lynx,lucid
10.10,Maverick Meerkat,maverick
11.04,Natty Narwhal,natty
11.10,Oneiric Ocelot,oneiric
12.04,Precise Pangolin,precise
12.10,Quantal Quetzal,quantal
13.04,Raring Ringtail,raring
13.10,Saucy Salamander,saucy
14.04,Trusty Tahr,trusty
14.10,Utopic Unicorn,utopic
15.04,Vivid Vervet,vivid
15.10,Wily Werewolf,wily
16.04,Xenial Xerus,xenial
16.10,Yakkety Yak,yakkety
17.04,Zesty Zapus,zesty
17.10,Artful Aardvark,artful
18.04,Bionic Beaver,bionic
18.10,Cosmic Cuttlefish,cosmic
19.04,Disco Dingo,disco
19.10,Eoan Ermine,eoan
20.04,Focal Fossa,focal
20.10,Groovy Gorilla,groovy
21.04,Hirsute Hippo,hirsute
21.10,Impish Indri,impish
22.04,Jammy Jellyfish,jammy
22.10,Kinetic Kudu,kinetic
23.04,Lunar Lobster,lunar
23.10,Mantic Minotaur,mantic
24.04,Noble Numbat,noble
24.10,Oracular Oriole,oracular
25.04,Plucky Puffin,plucky
25.10,Questing Quokka,questing
26.04,Resolute Raccoon,resolute
26.10,Stonking Stingray,stonking